to	TO | 8O
a	A | A
do	DO | 6O
on	ON | O6
er	ER | E8
but	BUT | 3U7
as	AS | A1
at	AT | A7
are	AR | A8
or	OR | O8
said	SED | 7E5
an	AN | A6
any	AN/-Y | A6/-3
cos	KOS | 2O1
us	US | U1
lot	LOT | 5O7
done	DON | 6O6
tell	TEL | 8E4
long	LONG | 5O2
ten	TEN | 8E6
better	BET/-R | 3E7/-8
let	LET | 5E7
car	KAR | 2A8
ta	TA | 8A
read	RED | 1E5
turn	TUR/-N | 8U8/-6
dad	DAD | 6A5
run	RUN | 1U6
cut	KUT | 2U7
answer	AN/-S/-R | A6/-1/-8
bed	BED | 3E5
per	PER | 4E8
body	BOD/-Y | 3O5/-3
putting	PUT/-NG | 4U7/-2
ready	RED/-Y | 1E5/-3
letter	LET/-R | 5E7/-8
running	RUN/-NG | 1U6/-2
longer	LONG/-R | 5O2/-8
son	SON | 7O6
dead	DED | 6E5
sell	SEL | 7E4
lots	LOT/-S | 5O7/-1
telling	TEL/-NG | 8E4/-2
add	AD | A5
sat	SAT | 7A7
bet	BET | 3E7
daddy	DAD/-Y | 6A5/-3
result	R/SUL/-T | 1/7U4/-7
corner	KOR/-N/-R | 2O8/-6/-8
onto	ON/-T | O6/-7
bus	BUS | 3U1
la	LA | 5A
lead	LED | 5E5
sun	SUN | 7U6
return	R/TUR/-N | 1/8U8/-6
odd	OD | O5
bar	BAR | 3A8
pull	PUL | 4U4
suddenly	SUD/-N/-L | 7U5/-6/-4
busy	BUS/-Y | 3U1/-3
ran	RAN | 1A6
selling	SEL/-NG | 7E4/-2
cat	KAT | 2A7
darling	DAR/-L/-NG | 6A8/-4/-2
results	R/SUL/-T/-S | 1/7U4/-7/-1
turning	TUR/-N/-NG | 8U8/-6/-2
bottle	BOT/-L | 3O7/-4
added	AD/-D | A5/-5
song	SONG | 7O2
alan	AL/-N | A4/-6
cutting	KUT/-NG | 2U7/-2
lad	LAD | 5A5
sad	SAD | 7A5
carrying	KAR/-NG | 2A8/-2
rang	RANG | 1A2
setting	SET/-NG | 7E7/-2
pen	PEN | 4E6
ken	KEN | 2E6
panel	PAN/-L | 4A6/-4
leading	LED/-NG | 5E5/-2
puts	PUT/-S | 4U7/-1
score	S/KOR | 7/2O8
sudden	SUD/-N | 7U5/-6
boring	BOR/-NG | 3O8/-2
pattern	PAT/-R/-N | 4A7/-8/-6
ben	BEN | 3E6
lads	LAD/-S | 5A5/-1
cuts	KUT/-S | 2U7/-1
button	BUT/-N | 3U7/-6
penny	PEN/-Y | 4E6/-3
