and	AND | A6l
have	HAV | 3rA7r
up	UP | U5l
them	DSEM | 6rE5r
from	FROM | 6RO5r
some	SOM | 7O5r
come	KOM | 2O5r
want	WANT | 1lA6r
back	BAK | 3A3r
off	OF | O7l
sort	SORT | 7O8l
hundred	HUND/-R/-D | 3rU6l/-8/-5
went	WENT | 1lE6r
twenty	T/WENT/-Y | 8/1lE6r/-3
after	AF/-T/-R | A7l/-7/-8
never	NEV/-R | 7lE7r/-8
end	END | E6l
thank	DSANK | 6rA2r
seven	SEV/-N | 7E7r/-6
number	NUM/-R | 7lU5r/-8
coming	KOM/-NG | 2O5r/-2
fact	FAK/-T | 6lA3r/-7
having	HAV/-NG | 3rA7r/-2
else	EL/-SE | E4/-1r
perhaps	PR/HAP/-S | 4L/3rA5l/-1
part	PART | 4A8l
start	START | 7rA8l
left	LEF/-T | 5E7l/-7
ask	AS/-K | A1/-3r
ever	EV/-R | E7r/-8
am	AM | A5r
mum	MUM | 3lU5r
under	UND/-R | U6l/-8
forty	FORT/-Y | 6lO8l/-3
world	WOR/-LD | 1lO8/-4r
help	HEL/-P | 3rE4/-5l
comes	KOM/-S | 2O5r/-1
wanted	WANT/-D | 1lA6r/-5
hand	HAND | 3rA6l
second	S/KOND | 7/2O6l
second	SEK/-ND | 7E3r/-6l
love	LOV | 5O7r
top	TOP | 8O5l
whatever	W/H/TEV/-R | 1l/3r/8E7r/-8
move	MOV | 3lO7r
twelve	T/WEL/-V | 8/1lE4/-7r
stuff	STUF | 7rU7l
asked	AS/-K/-D | A1/-3r/-5
less	LESE | 5E1r
started	START/-D | 7rA8l/-5
stop	STOP | 7rO5l
report	R/PORT | 1/4O8l
land	LAND | 5A6l
front	FRONT | 6RO6r
service	SEV/-SE | 7E7r/-1r
sometimes	SOM/-T/-M/-S | 7O5r/-7/-5r/-1
percent	P/R/SENT | 4/1/7E6r
policy	POL/-SE/-Y | 4O4/-1r/-3
lovely	LOV/-LY | 5O7r/-4l
across	A/KROSE | 8l/2lO1r
often	OF/-T/-N | O7l/-7/-6
himself	H/M/SEL/-F | 3r/3l/7E4/-7l
couple	KUP/-L | 2U5l/-4
support	S/PORT | 7/4O8l
black	BLAK | 3RA3r
happened	HAP/-ND | 3rA5l/-6l
exactly	ZAK/-T/-LY | 4RA3r/-7/-4l
family	FAM/-LY | 6lA5r/-4l
wants	WANT/-S | 1lA6r/-1
wants	WONT/-S | 1lO6r/-1
woman	WOM/-N | 1lO5r/-6
fucking	FUK/-NG | 6lU3r/-2
happy	HAP/-Y | 3rA5l/-3
seventy	SEV/-NT/-Y | 7E7r/-6r/-3
shop	SHOP | 5RO5l
level	LEV/-L | 5E7r/-4
office	OF/-SE | O7l/-1r
themselves	DS/M/SEL/-V/-S | 6r/3l/7E4/-7r/-1
present	PR/SENT | 4L/7E6r
present	PRESE/-NT | 4LE1r/-6r
short	SHORT | 5RO8l
thanks	DSANK/-S | 6rA2r/-1
happen	HAP/-N | 3rA5l/-6
stand	STAND | 7rA6l
itself	N/T/SEL/-F | 7l/8/7E4/-7l
bottom	BOT/-M | 3O7/-5r
turned	TUR/-ND | 8U8/-6l
become	B/KOM | 3/2O5r
hands	HAND/-S | 3rA6l/-1
wonder	WOND/-R | 1lO6l/-8
send	SEND | 7E6l
eleven	N/LEV/-N | 7l/5E7r/-6
mummy	MUM/-Y | 3lU5r/-3
sent	SENT | 7E6r
services	SEV/-SE/-S | 7E7r/-1r/-1
friend	FREND | 6RE6l
kept	KEP/-T | 2E5l/-7
staff	STAF | 7rA7l
friends	FREND/-S | 6RE6l/-1
involved	GR/VOL/-V/-D | 5L/1rO4/-7r/-5
concerned	KN/SER/-ND | 2r/7E8/-6l
special	SPESH/-L | 7LE2l/-4
dog	DOG | 6O3l
president	PRES/-D/-NT | 4LE1/-5/-6r
expect	Z/PEK/-T | 4R/4E3r/-7
english	ENG/-L/-SH | E2/-4/-2l
moved	MOV/-D | 3lO7r/-5
class	KLASE | 2RA1r
doctor	DOK/-T/-R | 6O3r/-7/-8
act	AK/-T | A3r/-7
project	PR/JEK/-T | 4L/5rE3r/-7
subject	S/B/JEK/-T | 7/3/5rE3r/-7
effect	N/FEK/-T | 7l/6lE3r/-7
asking	AS/-K/-NG | A1/-3r/-2
meant	MENT | 3lE6r
actual	AK/-T/-L | A3r/-7/-4
cup	KUP | 2U5l
pass	PASE | 4A1r
traffic	TRAF/-K | 8rA7l/-3r
yep	YEP | 4lE5l
above	A/BOV | 8l/3O7r
standing	STAND/-NG | 7rA6l/-2
common	KOM/-N | 2O5r/-6
spend	SPEND | 7LE6l
several	SEV/-R/-L | 7E7r/-8/-4
press	PRESE | 4LE1r
moving	MOV/-NG | 3lO7r/-2
bank	BANG/-K | 3A2/-3r
held	HELD | 3rE4r
cover	KOV/-R | 2O7r/-8
accept	A/K/SEP/-T | 8l/2/7E5l/-7
officers	OF/-SE/-RS | O7l/-1r/-8r
bag	BAG | 3A3l
check	CHEK | 8RE3r
happening	HAP/-N/-NG | 3rA5l/-6/-2
parts	PART/-S | 4A8l/-1
sorts	SORT/-S | 7O8l/-1
passed	PASE/-D | 4A1r/-5
reckon	REK/-N | 1E3r/-6
proper	PROP/-R | 4LO5l/-8
spent	SPENT | 7LE6r
definitely	DEF/-N/-T/-LY | 6E7l/-6/-7/-4l
benefit	BEN/-F/-T | 3E6/-7l/-7
art	ART | A8l
officer	OF/-SE/-R | O7l/-1r/-8
stopped	STOP/-D | 7rO5l/-5
central	SENT/-R/-L | 7E6r/-8/-4
apart	A/PART | 8l/4A8l
summer	SUM/-R | 7U5r/-8
financial	F/NAN/-SH/-L | 6l/7lA6/-2l/-4
lose	LOSE | 5O1r
economic	EK/-N/-M/-K | E3r/-6/-5r/-3r
cars	KARS | 2A8r
congress	KONG/-R/-SE | 2O2/-8/-1r
herself	H/R/SEL/-F | 3r/1/7E4/-7l
apparently	A/PAR/-NT/-LY | 8l/4A8/-6r/-4l
pressure	PRESH/-R | 4LE2l/-8
countries	KUNT/-R/-G | 2U6r/-8/-3l
offer	OF/-R | O7l/-8
comment	KOM/-NT | 2O5r/-6r
address	A/D/RESE | 8l/6/1E1r
address	AD/-R/-SE | A5/-8/-1r
respect	R/SPEK/-T | 1/7LE3r/-7
tend	TEND | 8E6l
properly	PROP/-R/-LY | 4LO5l/-8/-4l
heavy	HEV/-Y | 3rE7r/-3
drop	D/ROP | 6/1O5l
letters	LET/-RS | 5E7/-8r
suddenly	SUD/-N/-LY | 7U5/-6/-4l
copy	KOP/-Y | 2O5l/-3
wonderful	WOND/-R/-F/-L | 1lO6l/-8/-7l/-4
cross	KROSE | 2lO1r
correct	KREK/-T | 2lE3r/-7
depends	D/PEND/-S | 6/4E6l/-1
contact	KONT/-K/-T | 2O6r/-3r/-7
starting	START/-NG | 7rA8l/-2
seventeen	SEV/-N/-T/-N | 7E7r/-6/-7/-6
stuck	STUK | 7rU3r
telephone	TEL/-F/-N | 8E4/-7l/-6
contract	KN/RAK/-T | 2r/1A3r/-7
contract	KN/TRAK/-T | 2r/8rA3r/-7
character	KAR/-K/-T/-R | 2A8/-3r/-7/-8
purpose	PUR/-P/-SE | 4U8/-5l/-1r
matters	MAT/-RS | 3lA7/-8r
beyond	B/YOND | 3/4lO6l
positive	POS/-T/-V | 4O1/-7/-7r
transport	TR/N/SPORT | 8r/7l/7LO8l
necessarily	N/S/SAR/-LY | 7l/7/7A8/-4l
necessarily	NESE/-SE/-R/-LY | 7lE1r/-1r/-8/-4l
plenty	PLENT/-Y | 4rE6r/-3
product	PROD/-K/-T | 4LO5/-3r/-7
shops	SHOP/-S | 5RO5l/-1
extent	Z/TENT | 4R/8E6r
welcome	WEL/-K/-M | 1lE4/-3r/-5r
economy	N/KON/-M/-Y | 7l/2O6/-5r/-3
step	STEP | 7rE5l
fund	FUND | 6lU6l
opposite	OP/-S/-T | O5l/-1/-7
expected	Z/PEK/-T/-D | 4R/4E3r/-7/-5
sector	SEK/-T/-R | 7E3r/-7/-8
property	PROP/-RT/-Y | 4LO5l/-8l/-3
comments	KOM/-NT/-S | 2O5r/-6r/-1
separate	SEP/-R/-T | 7E5l/-8/-7
success	S/K/SESE | 7/2/7E1r
starts	START/-S | 7rA8l/-1
tom	TOM | 8O5r
legs	LEG/-S | 5E3l/-1
chapter	CHAP/-T/-R | 8RA5l/-7/-8
reports	R/PORT/-S | 1/4O8l/-1
shopping	SHOP/-NG | 5RO5l/-2
policies	POL/-SE/-G | 4O4/-1r/-3l
access	AK/-SE/-SE | A3r/-1r/-1r
lucky	LUK/-Y | 5U3r/-3
glass	G/LASE | 5l/5A1r
direct	D/REK/-T | 6/1E3r/-7
grant	GRANT | 5LA6r
bush	BUSH | 3U2l
spending	SPEND/-NG | 7LE6l/-2
paragraph	P/R/GRAF | 4/1/5LA7l
self	SEL/-F | 7E4/-7l
director	D/REK/-T/-R | 6/1E3r/-7/-8
washing	WASH/-NG | 1lA2l/-2
washing	WOSH/-NG | 1lO2l/-2
cash	KASH | 2A2l
wash	WASH | 1lA2l
wash	WOSH | 1lO2l
push	PUSH | 4U2l
chap	CHAP | 8RA5l
fuck	FUK | 6lU3r
leg	LEG | 5E3l
data	DAT/-NK | 6A7/-2r
object	W/B/JEK/-T | 1l/3/5rE3r/-7
stock	STOK | 7rO3r
products	PROD/-K/-T/-S | 4LO5/-3r/-7/-1
parties	PART/-G | 4A8l/-3l
dropped	D/ROP/-D | 6/1O5l/-5
benefits	BEN/-F/-T/-S | 3E6/-7l/-7/-1
families	FAM/-L/-G | 6lA5r/-4/-3l
families	FAM/-LY/-S | 6lA5r/-4l/-1
accident	AK/-SE/-D/-NT | A3r/-1r/-5/-6r
hurt	HURT | 3rU8l
successful	S/K/SESE/-F/-L | 7/2/7E1r/-7l/-4
conservative	KNEV/-T/-V | 2rE7r/-7/-7r
gentleman	JENT/-L/-M/-N | 5rE6r/-4/-5r/-6
travel	TRAV/-L | 8rA7r/-4
heaven	HEV/-N | 3rE7r/-6
attack	A/TAK | 8l/8A3r
jack	JAK | 5rA3r
accepted	A/K/SEP/-T/-D | 8l/2/7E5l/-7/-5
enter	ENT/-R | E6r/-8
effort	EF/-RT | E7l/-8l
becomes	B/KOM/-S | 3/2O5r/-1
fresh	FRESH | 6RE2l
perfect	PR/FEK/-T | 4L/6lE3r/-7
demand	D/MAND | 6/3lA6l
reported	R/PORT/-D | 1/4O8l/-5
dogs	DOG/-S | 6O3l/-1
grand	GRAND | 5LA6l
helped	HEL/-P/-D | 3rE4/-5l/-5
perfectly	PER/-F/-K/-T/-LY | 4E8/-7l/-3r/-7/-4l
executive	ZEK/-T/-V | 4RE3r/-7/-7r
pop	POP | 4O5l
medical	MED/-K/-L | 3lE5/-3r/-4
pulled	PULD | 4U4r
pack	PAK | 4A3r
profit	PROF/-T | 4LO7l/-7
advertising	AD/-V/-RT/-S/-NG | A5/-7r/-8l/-1/-2
dress	D/RESE | 6/1E1r
neck	NEK | 7lE3r
mess	MESE | 3lE1r
discuss	DSUSE | 6rU1r
sugar	SHUG/-R | 5RU3l/-8
sum	SUM | 7U5r
grass	GRASE | 5LA1r
negative	NEG/-T/-V | 7lE3l/-7/-7r
returned	R/TUR/-ND | 1/8U8/-6l
regular	REG/-L/-R | 1E3l/-4/-8
rent	RENT | 1E6r
affect	A/FEK/-T | 8l/6lE3r/-7
potential	P/TEN/-SH/-L | 4/8E6/-2l/-4
plant	PLANT | 4rA6r
lock	LOK | 5O3r
steps	STEP/-S | 7rE5l/-1
directly	D/REK/-T/-LY | 6/1E3r/-7/-4l
effects	N/FEK/-T/-S | 7l/6lE3r/-7/-1
track	TRAK | 8rA3r
improve	KN/PROV | 2r/4LO7r
sorted	SORT/-D | 7O8l/-5
agenda	A/JEND/-NK | 8l/5rE6l/-2r
clever	KLEV/-R | 2RE7r/-8
telly	TELY | 8E4l
