other	OTH/-R | O7L/-8
much	MUCH | 3lU2L
something	SOM/-TH/-NG | 7O5r/-7L/-2
actually	AK/-T/-B/-NK/-L/-Y | A3r/-7/-2R/-2r/-4/-3
another	A/NOTH/-R | 8l/7lO7L/-8
anything	AN/-Y/-TH/-NG | A6/-3/-7L/-2
probably	P/ROB/-NK/-B/-L/-Y | 4/1O2R/-2r/-2R/-4/-3
number	NUM/-B/-R | 7lU5r/-2R/-8
remember	R/KNEM/-B/-R | 1/2rE5r/-2R/-8
remember	R/MEM/-B/-R | 1/3lE5r/-2R/-8
such	SUCH | 7U2L
nothing	NOTH/-NG | 7lO7L/-2
anyway	AN/-Y/-B | A6/-3/-2R
whether	W/HETH/-R | 1l/3rE7L/-8
somebody	SOM/-B/-B/-D/-Y | 7O5r/-2R/-2R/-5/-3
everything	EV/-R/-Y/-TH/-NG | E7r/-8/-3/-7L/-2
job	JOB | 5rO2R
rather	RATH/-R | 1A7L/-8
problem	P/ROB/-L/-M | 4/1O2R/-4/-5r
question	KWES/-T/-B/-N | 2LE1/-7/-2R/-6
second	SEK/-B/-N/-D | 7E3r/-2R/-6/-5
together	T/W/GETH/-R | 8/1l/5lE7L/-8
change	SHAN/-J | 5RA6/-3L
change	SHON/-J | 5RO6/-3L
obviously	OB/-V/-B/-S/-L/-Y | O2R/-7r/-2R/-1/-4/-3
everybody	EV/-R/-Y/-B/-B/-D/-Y | E7r/-8/-3/-2R/-2R/-5/-3
anybody	AN/-Y/-B/-B/-D/-Y | A6/-3/-2R/-2R/-5/-3
members	MEM/-B/-R/-S | 3lE5r/-2R/-8/-1
mother	MOTH/-R | 3lO7L/-8
months	MON/-TH/-S | 3lO6/-7L/-1
problems	P/ROB/-L/-M/-S | 4/1O2R/-4/-5r/-1
public	PUB/-L/-K | 4U2R/-4/-3r
father	FATH/-R | 6lA7L/-8
others	OTH/-R/-S | O7L/-8/-1
watch	WACH | 1lA2L
watch	WOCH | 1lO2L
further	FUR/-TH/-R | 6lU8/-7L/-8
absolutely	AB/-S/-B/-L/-T/-L/-Y | A2R/-1/-2R/-4/-7/-4/-3
possible	POSE/-B/-L | 4O1r/-2R/-4
forward	FOR/-B/-NK/-R/-D | 6lO8/-2R/-2r/-8/-5
large	LAR/-J | 5A8/-3L
month	MON/-TH | 3lO6/-7L
health	HEL/-TH | 3rE4/-7L
questions	KWES/-T/-B/-N/-S | 2LE1/-7/-2R/-6/-1
bottom	BOT/-B/-M | 3O7/-2R/-5r
north	NOR/-TH | 7lO8/-7L
trouble	T/ROB/-L | 8/1O2R/-4
trouble	T/RUB/-L | 8/1U2R/-4
worth	WOR/-TH | 1lO8/-7L
development	D/VEL/-B/-P/-M/-N/-T | 6/1rE4/-2R/-5l/-5r/-6/-7
church	CHUR/-CH | 8RU8/-2L
education	ED/-B/-K/-SH/-N | E5/-2R/-3r/-2l/-6
education	ED/-B/-K/-T/-N | E5/-2R/-3r/-7/-6
story	S/TORY | 7/8O8R
death	DETH | 6E7L
doctor	DOK/-T/-B/-R | 6O3r/-7/-2R/-8
budget	BUJ/-T | 3U3L/-7
subject	SUB/-J/-K/-T | 7U2R/-3L/-3r/-7
jobs	JOB/-S | 5rO2R/-1
numbers	NUM/-B/-R/-S | 7lU5r/-2R/-8/-1
actual	AK/-T/-B/-NK/-L | A3r/-7/-2R/-2r/-4
earth	ER/-TH | E8/-7L
charge	CHAR/-J | 8RA8/-3L
husband	HUS/-B/-NK/-N/-D | 3rU1/-2R/-2r/-6/-5
management	MAN/-NK/-J/-M/-N/-T | 3lA6/-2r/-3L/-5r/-6/-7
double	DOB/-L | 6O2R/-4
double	DUB/-L | 6U2R/-4
imagine	N/MAJ/-N | 7l/3lA3L/-6
brother	B/ROTH/-R | 3/1O7L/-8
otherwise	OTH/-R/-B/-SE | O7L/-8/-2R/-1r
language	LANG/-G/-B/-NK/-J | 5A2/-3l/-2R/-2r/-3L
member	MEM/-B/-R | 3lE5r/-2R/-8
terrible	TER/-B/-L | 8E8/-2R/-4
possibly	POSE/-B/-L/-Y | 4O1r/-2R/-4/-3
club	K/LUB | 2/5U2R
reckon	REK/-B/-N | 1E3r/-2R/-6
french	F/REN/-CH | 6l/1E6/-2L
touch	TOCH | 8O2L
touch	TUCH | 8U2L
college	KOL/-J | 2O4/-3L
structure	S/T/RUK/-CH/-R | 7/8/1U3r/-2L/-8
economic	EK/-B/-N/-B/-M/-K | E3r/-2R/-6/-2R/-5r/-3r
produce	P/ROD/-B/-SE | 4/1O5/-2R/-1r
football	FOT/-B/-L | 6lO7/-2R/-4
lunch	LUN/-CH | 5U6/-2L
watching	WACH/-NG | 1lA2L/-2
watching	WOCH/-NG | 1lO2L/-2
telephone	TEL/-F/-B/-N | 8E4/-7l/-2R/-6
cannot	KAN/-B/-T | 2A6/-2R/-7
research	RESE/-NK/-R/-CH | 1E1r/-2r/-8/-2L
purpose	PUR/-P/-B/-SE | 4U8/-5l/-2R/-1r
bother	BOTH/-R | 3O7L/-8
manager	MAN/-NK/-J/-R | 3lA6/-2r/-3L/-8
march	MAR/-CH | 3lA8/-2L
average	AV/-R/-NK/-J | A7r/-8/-2r/-3L
weather	WETH/-R | 1lE7L/-8
welcome	WEL/-K/-B/-M | 1lE4/-3r/-2R/-5r
economy	N/KON/-B/-M/-Y | 7l/2O6/-2R/-5r/-3
opposite	OP/-B/-S/-T | O5l/-2R/-1/-7
argument	AR/-G/-B/-M/-N/-T | A8/-3l/-2R/-5r/-6/-7
eventually	N/VEN/-T/-B/-NK/-L/-Y | 7l/1rE6/-7/-2R/-2r/-4/-3
sector	SEK/-T/-B/-R | 7E3r/-7/-2R/-8
branch	B/RAN/-CH | 3/1A6/-2L
forth	FOR/-TH | 6lO8/-7L
horrible	HOR/-B/-L | 3rO8/-2R/-4
afterwards	AF/-T/-R/-B/-NK/-R/-D/-S | A7l/-7/-8/-2R/-2r/-8/-5/-1
catch	KACH | 2A2L
match	MACH | 3lA2L
length	LENG/-TH | 5E2/-7L
century	SEN/-CH/-R/-Y | 7E6/-2L/-8/-3
director	D/REK/-T/-B/-R | 6/1E3r/-7/-2R/-8
unfortunately	N/FOR/-T/-B/-N/-NK/-T/-L/-Y | 7l/6lO8/-7/-2R/-6/-2r/-7/-4/-3
rubbish	RUB/-SH | 1U2R/-2l
energy	EN/-R/-J/-Y | E6/-8/-3L/-3
object	OB/-J/-K/-T | O2R/-3L/-3r/-7
underneath	UN/-D/-R/-N/-TH | U6/-5/-8/-6/-7L
bath	BATH | 3A7L
manage	MAN/-NK/-J | 3lA6/-2r/-3L
managed	MAN/-NK/-J/-D | 3lA6/-2r/-3L/-5
memory	MEM/-B/-R/-Y | 3lE5r/-2R/-8/-3
bothered	BOTH/-R/-D | 3O7L/-8/-5
message	MESE/-NK/-J | 3lE1r/-2r/-3L
northern	NOR/-TH/-R/-N | 7lO8/-7L/-8/-6
obvious	OB/-V/-B/-S | O2R/-7r/-2R/-1
document	DOK/-B/-M/-N/-T | 6O3r/-2R/-5r/-6/-7
bob	BOB | 3O2R
judge	JUJ | 5rU3L
responsible	R/S/PON/-S/-B/-L | 1/7/4O6/-1/-2R/-4
effort	EF/-B/-R/-T | E7l/-2R/-8/-7
advantage	A/D/VAN/-T/-NK/-J | 8l/6/1rA6/-7/-2r/-3L
strength	S/T/RENG/-TH | 7/8/1E2/-7L
attitude	AT/-T/-B/-D | A7/-7/-2R/-5
executive	ZEK/-B/-T/-V | 4RE3r/-2R/-7/-7r
impossible	N/M/POSE/-B/-L | 7l/3l/4O1r/-2R/-4
pub	PUB | 4U2R
youth	YOTH | 4lO7L
stories	S/TORY/-S | 7/8O8R/-1
edge	EJ | E3L
hath	HATH | 3rA7L
resolution	RES/-B/-L/-SH/-N | 1E1/-2R/-4/-2l/-6
resolution	RES/-B/-L/-T/-N | 1E1/-2R/-4/-7/-6
technology	T/K/H/NOL/-B/-J/-Y | 8/2/3r/7lO4/-2R/-3L/-3
regular	REG/-B/-L/-NK/-R | 1E3l/-2R/-4/-2r/-8
garage	G/A/RAJ | 5l/8l/1A3L
garage	GAR/-NK/-J | 5lA8/-2r/-3L
watched	WACH/-D | 1lA2L/-5
watched	WOCH/-D | 1lO2L/-5
popular	POP/-B/-L/-NK/-R | 4O5l/-2R/-4/-2r/-8
strategy	S/T/RAT/-J/-Y | 7/8/1A7/-3L/-3
developed	D/VEL/-B/-P/-D | 6/1rE4/-2R/-5l/-5
doctors	DOK/-T/-B/-R/-S | 6O3r/-7/-2R/-8/-1
develop	D/VEL/-B/-P | 6/1rE4/-2R/-5l
engine	EN/-J/-N | E6/-3L/-6
southern	SOTH/-R/-N | 7O7L/-8/-6
southern	SUTH/-R/-N | 7U7L/-8/-6
annual	AN/-B/-NK/-L | A6/-2R/-2r/-4
absolute	AB/-S/-B/-L/-T | A2R/-1/-2R/-4/-7
damage	DAM/-NK/-J | 6A5r/-2r/-3L
charges	CHAR/-J/-S | 8RA8/-3L/-1
defence	D/FENSE | 6/6lE6L
revolution	REV/-B/-L/-SH/-N | 1E7r/-2R/-4/-2l/-6
revolution	REV/-B/-L/-T/-N | 1E7r/-2R/-4/-7/-6
enormous	N/NOR/-M/-B/-S | 7l/7lO8/-5r/-2R/-1
furniture	FUR/-N/-CH/-R | 6lU8/-6/-2L/-8
orange	OR/-NK/-N/-J | O8/-2r/-6/-3L
tremendous	T/R/MEN/-D/-B/-S | 8/1/3lE6/-5/-2R/-1
assembly	A/SEM/-B/-L/-Y | 8l/7E5r/-2R/-4/-3
method	METH/-B/-D | 3lE7L/-2R/-5
agricultural	AG/-R/-K/-L/-CH/-R/-NK/-L | A3l/-8/-3r/-4/-2L/-8/-2r/-4
nevertheless	NEV/-R/-TH/-L/-SE | 7lE7r/-8/-7L/-4/-1r
brothers	B/ROTH/-R/-S | 3/1O7L/-8/-1
professor	P/R/W/FESE/-B/-R | 4/1/1l/6lE1r/-2R/-8
understood	UN/-D/-R/-S/-T/-B/-D | U6/-5/-8/-1/-7/-2R/-5
established	N/S/TAB/-L/-SH/-D | 7l/7/8A2R/-4/-2l/-5
marriage	MAR/-NK/-J | 3lA8/-2r/-3L
factory	FAK/-T/-B/-R/-Y | 6lA3r/-7/-2R/-8/-3
maths	MATH/-S | 3lA7L/-1
cast	KAST | 2A1L
larger	LAR/-J/-R | 5A8/-3L/-8
network	NET/-B/-B/-R/-K | 7lE7/-2R/-2R/-8/-3r
path	PATH | 4A7L
sensible	SEN/-S/-BL | 7E6/-1/-3R
legislation	LEJ/-S/-L/-SH/-N | 5E3L/-1/-4/-2l/-6
legislation	LEJ/-S/-L/-T/-N | 5E3L/-1/-4/-7/-6
communist	KOM/-B/-N/-S/-T | 2O5r/-2R/-6/-1/-7
button	BUT/-B/-N | 3U7/-2R/-6
customers	KUS/-T/-B/-M/-R/-S | 2U1/-7/-2R/-5r/-8/-1
marvellous	MAR/-V/-L/-B/-S | 3lA8/-7r/-4/-2R/-1
fortune	FOR/-CH/-N | 6lO8/-2L/-6
factors	FAK/-T/-B/-R/-S | 6lA3r/-7/-2R/-8/-1
bathroom	BATH/-R/-M | 3A7L/-8/-5r
seconds	SEK/-B/-N/-D/-S | 7E3r/-2R/-6/-5/-1
encourage	N/N/KOR/-NK/-J | 7l/7l/2O8/-2r/-3L
encourage	N/N/KUR/-NK/-J | 7l/7l/2U8/-2r/-3L
democratic	DEM/-B/-K/-R/-NK/-T/-K | 6E5r/-2R/-3r/-8/-2r/-7/-3r
comfortable	KOM/-F/-B/-R/-T/-NK/-B/-L | 2O5r/-7l/-2R/-8/-7/-2r/-2R/-4
customer	KUS/-T/-B/-M/-R | 2U1/-7/-2R/-5r/-8
published	PUB/-L/-SH/-D | 4U2R/-4/-2l/-5
developing	D/VEL/-B/-P/-NG | 6/1rE4/-2R/-5l/-2
opposition	OP/-B/-S/-SH/-N | O5l/-2R/-1/-2l/-6
opposition	OP/-B/-S/-T/-N | O5l/-2R/-1/-7/-6
petrol	PET/-R/-B/-L | 4E7/-8/-2R/-4
breath	B/RETH | 3/1E7L
challenge	CHAL/-N/-J | 8RA4/-6/-3L
subjects	SUB/-J/-K/-T/-S | 7U2R/-3L/-3r/-7/-1
conscious	KON/-SH/-B/-S | 2O6/-2l/-2R/-1
urban	UR/-B/-NK/-N | U8/-2R/-2r/-6
recognize	REK/-B/-G/-N/-ZE | 1E3r/-2R/-3l/-6/-1l
branches	B/RAN/-CH/-S | 3/1A6/-2L/-1
charged	CHAR/-J/-D | 8RA8/-3L/-5
lecture	LEK/-CH/-R | 5E3r/-2L/-8
deputy	DEP/-B/-T/-Y | 6E5l/-2R/-7/-3
factor	FAK/-T/-B/-R | 6lA3r/-7/-2R/-8
